RK,TIERS,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
368,15,Kyle Philips,TEN,WR122,298,373,335.5,37.5,0
369,15,Atlanta Falcons,ATL,DST30,330,333,331.5,1.5,0
370,15,Harrison Bryant,CLE,TE44,305,369,337,32,0
371,15,Deon Jackson,IND,RB108,331,333,332,1,0
372,15,Eric Gray,FA,RB109,331,337,334,3,0
373,15,Adam Trautman,NO,TE45,334,350,342.7,6.6,0
374,15,Mo Alie-Cox,IND,TE46,336,355,344,8,0
375,15,Cade York,CLE,K31,339,348,343.5,4.5,0
376,15,Donald Parham Jr.,LAC,TE47,341,347,344,3,0
377,15,Hendon Hooker,DET,QB38,334,357,345.5,11.5,0
378,15,Brevin Jordan,HOU,TE48,335,371,353,18,0
379,15,Marquez Callaway,DEN,WR123,340,385,362.5,22.5,0
380,15,Tutu Atwell,LAR,WR124,343,379,361,18,0
