"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Teagan Quitoriano","HST","7","TE","3","2","0","33","0","0","0","0","66.7","5","11","16.5","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.3","0.03","2.15"
"Jeremy Ruckert","NYJ","15","TE","21","16","0","151","0","0","0","1","76.2","6.52","7.19","9.44","3.06","2","2","0","9.5","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.1","0.07","1.44"
"Luke Schoonmaker","DAL","16","TE","14","8","0","65","0","2","0","4","57.1","6.43","4.64","8.13","3.38","4","3","2","28.6","37.5","100","3","2","21.4","25","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.5","0.07","2.81"
"Lucas Krull","DEN","6","TE","12","8","0","95","0","1","0","0","66.7","9.17","7.92","11.88","6.25","4","2","1","33.3","25","100","2","1","16.7","12.5","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.5","0.15","2.44"
"Henry Pearson","GB","2","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ben Sims","GB","15","TE","5","4","0","21","0","1","0","0","80","6","4.2","5.25","4.5","2","2","1","40","50","100","1","1","20","25","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.1","0.06","2.52"
"James Mitchell","DET","13","TE","1","1","0","4","0","0","0","0","100","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9","0.01","0.9"
"Tanner Hudson","CIN","11","TE","47","37","0","341","0","1","0","1","78.7","5.91","7.26","9.22","3.43","4","4","1","8.5","10.8","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.6","0.24","1.58"
"Quintin Morris","BUF","14","TE","3","2","0","26","0","1","0","1","66.7","10.67","8.67","13","3","2","1","1","66.7","50","100","2","1","66.7","50","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.6","0.05","4.8"
"Jake Ferguson","DAL","16","TE","90","65","1","692","0","5","0","5","72.2","6.33","7.69","10.65","5.85","22","13","5","24.4","20","100","9","3","10","4.6","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","131.7","0.16","2.03"
"Cade Otton","TB","16","TE","64","45","0","426","0","4","0","3","70.3","6.95","6.66","9.47","4.51","17","9","4","26.6","20","100","6","2","9.4","4.4","50","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","89.1","0.09","1.98"
