Player,Team,"Year
Signed",Years,,Value,APY,Guaranteed,,"APY as % Of
Cap At Signing",,"Inflated
Value","Inflated
APY","Inflated
Guaranteed"
John Carlson,Cardinals,2014,2,,"$3,200,000","$1,600,000","$100,000",,1.2%,,"$6,144,962","$3,072,481","$192,030"
Lance Kendricks,Packers,2017,2,,"$4,000,000","$2,000,000","$1,200,000",,1.2%,,"$6,117,365","$3,058,683","$1,835,210"
Lee Smith,Raiders,2017,1,,"$2,000,000","$2,000,000","$1,000,000",,1.2%,,"$3,058,683","$3,058,683","$1,529,341"
Marcedes Lewis,Packers,2018,1,,"$2,100,000","$2,100,000","$500,000",,1.2%,,"$3,026,749","$3,026,749","$720,655"
Zach Miller,Raiders,2007,4,,"$5,152,000","$1,288,000","$3,487,000",,1.2%,,"$12,071,750","$3,017,938","$8,170,457"
Robert Tonyan,Bears,2023,1,,"$2,650,000","$2,650,000","$1,250,000",,1.2%,,"$3,010,721","$3,010,721","$1,420,151"
Austin Hooper,Patriots,2024,1,,"$3,000,000","$3,000,000","$2,410,000",,1.2%,,"$3,000,000","$3,000,000","$2,410,000"
Zach Ertz,Commanders,2024,1,,"$3,000,000","$3,000,000","$1,960,000",,1.2%,,"$3,000,000","$3,000,000","$1,960,000"
Brock Wright,Lions,2024,1,,"$2,985,000","$2,985,000",$0,,1.2%,,"$2,985,000","$2,985,000",$0
Marcedes Lewis,Packers,2020,1,,"$2,300,000","$2,300,000","$1,050,000",,1.2%,,"$2,963,774","$2,963,774","$1,353,027"
Ben Watson,Saints,2018,1,,"$2,000,000","$2,000,000","$645,000",,1.1%,,"$2,882,619","$2,882,619","$929,644"
Mychal Rivera,Jaguars,2017,2,,"$3,750,000","$1,875,000","$750,000",,1.1%,,"$5,735,030","$2,867,515","$1,147,006"
Luke Stocker,Buccaneers,2015,3,,"$4,800,000","$1,600,000","$500,000",,1.1%,,"$8,556,114","$2,852,038","$891,262"
Jacob Tamme,Falcons,2015,2,,"$3,200,000","$1,600,000","$400,000",,1.1%,,"$5,704,076","$2,852,038","$713,009"
Craig Stevens,Titans,2015,1,,"$1,600,000","$1,600,000","$350,000",,1.1%,,"$2,852,038","$2,852,038","$623,883"
Marcedes Lewis,Packers,2019,1,,"$2,100,000","$2,100,000","$500,000",,1.1%,,"$2,849,841","$2,849,841","$678,533"
Coby Fleener,Colts,2012,4,,"$5,341,648","$1,335,412","$3,767,638",,1.1%,,"$11,312,246","$2,828,062","$7,978,895"
Tyler Kroft,Jets,2021,1,,"$2,000,000","$2,000,000","$1,500,000",,1.1%,,"$2,798,904","$2,798,904","$2,099,178"
Michael Hoomanawanui,Saints,2016,3,,"$5,100,000","$1,700,000","$1,850,000",,1.1%,,"$8,388,871","$2,796,290","$3,043,022"
Zach Ertz,Eagles,2013,4,,"$5,379,198","$1,344,800","$3,657,854",,1.1%,,"$11,169,489","$2,792,373","$7,595,251"
Ryan Griffin,Bears,2022,1,,"$2,250,000","$2,250,000","$750,000",,1.1%,,"$2,760,086","$2,760,086","$920,029"
Luke Willson,Seahawks,2017,1,,"$1,800,000","$1,800,000","$1,800,000",,1.1%,,"$2,752,814","$2,752,814","$2,752,814"
Chase Ford,Browns,2016,1,,"$1,671,000","$1,671,000",$0,,1.1%,,"$2,748,589","$2,748,589",$0
Jack Doyle,Colts,2016,1,,"$1,671,000","$1,671,000",$0,,1.1%,,"$2,748,589","$2,748,589",$0
Larry Donnell,Giants,2016,1,,"$1,671,000","$1,671,000",$0,,1.1%,,"$2,748,589","$2,748,589",$0
Cethan Carter,Bengals,2020,1,,"$2,133,000","$2,133,000",$0,,1.1%,,"$2,748,578","$2,748,578",$0
Neal Sterling,Jets,2018,1,,"$1,907,000","$1,907,000",$0,,1.1%,,"$2,748,577","$2,748,577",$0
Xavier Grimble,Steelers,2019,1,,"$2,025,000","$2,025,000",$0,,1.1%,,"$2,748,061","$2,748,061",$0
Ed Dickson,Ravens,2013,1,,"$1,323,000","$1,323,000",$0,,1.1%,,"$2,747,107","$2,747,107",$0
Nick Vannett,Saints,2022,2,,"$4,470,000","$2,235,000","$1,500,000",,1.1%,,"$5,483,372","$2,741,686","$1,840,058"
Charles Clay,Cardinals,2019,1,,"$2,000,000","$2,000,000","$350,000",,1.1%,,"$2,714,134","$2,714,134","$474,973"
Sam LaPorta,Lions,2023,4,,"$9,465,998","$2,366,500","$7,825,179",,1.1%,,"$10,754,519","$2,688,630","$8,890,350"
Jason Witten,Cowboys,2003,4,,"$3,153,000","$788,250","$670,000",,1.1%,,"$10,736,014","$2,684,003","$2,281,360"
David Johnson,Steelers,2012,1,,"$1,260,000","$1,260,000",$0,,1.0%,,"$2,668,358","$2,668,358",$0
Derek Carrier,Raiders,2018,3,,"$5,550,000","$1,850,000",$0,,1.0%,,"$7,999,266","$2,666,422",$0
Michael Mayer,Raiders,2023,4,,"$9,313,638","$2,328,410","$7,596,697",,1.0%,,"$10,581,420","$2,645,355","$8,630,767"
Hunter Henry,Chargers,2016,4,,"$6,380,308","$1,595,077","$4,030,238",,1.0%,,"$10,494,820","$2,623,705","$6,629,244"
Gary Barnidge,Browns,2013,3,,"$3,750,000","$1,250,000","$650,000",,1.0%,,"$7,786,585","$2,595,528","$1,349,675"
Scott Chandler,Bills,2011,1,,"$1,200,000","$1,200,000",$0,,1.0%,,"$2,546,044","$2,546,044",$0
Austin Seferian-Jenkins,NYJ/TB,2014,4,,"$5,254,932","$1,313,733","$3,220,629",,1.0%,,"$10,091,050","$2,522,762","$6,184,576"
Demetrius Harris,Chiefs,2016,3,,"$4,600,000","$1,533,333","$1,200,000",,1.0%,,"$7,566,433","$2,522,144","$1,973,852"
Lee Smith,Falcons,2021,1,,"$1,800,000","$1,800,000","$1,800,000",,1.0%,,"$2,519,014","$2,519,014","$2,519,014"
Mike Gesicki,Bengals,2024,1,,"$2,500,000","$2,500,000","$400,000",,1.0%,,"$2,500,000","$2,500,000","$400,000"
John Carlson,Seahawks,2008,4,,"$4,520,250","$1,130,063","$2,480,000",,1.0%,,"$9,952,344","$2,488,087","$5,460,276"
Kyle Rudolph,Vikings,2011,4,,"$4,629,851","$1,157,463",$0,,1.0%,,"$9,823,169","$2,455,793",$0
Kyle Rudolph,Buccaneers,2022,1,,"$2,000,000","$2,000,000","$1,500,000",,1.0%,,"$2,453,410","$2,453,410","$1,840,058"
Cole Kmet,Bears,2020,4,,"$7,577,786","$1,894,447","$4,635,561",,1.0%,,"$9,764,715","$2,441,179","$5,973,372"
Luke Musgrave,Packers,2023,4,,"$8,475,742","$2,118,936","$6,348,437",,0.9%,,"$9,629,468","$2,407,368","$7,212,593"
Mike Gesicki,Dolphins,2018,4,,"$6,611,924","$1,652,981","$4,149,214",,0.9%,,"$9,529,827","$2,382,457","$5,980,301"
Antony Auclair,Texans,2022,1,,"$1,900,000","$1,900,000","$1,600,000",,0.9%,,"$2,330,740","$2,330,740","$1,962,728"
Anthony Fasano,Dolphins,2010,1,,"$1,176,000","$1,176,000",$0,,0.9%,,"$2,328,298","$2,328,298",$0
Tony Scheffler,DEN/DET,2010,1,,"$1,176,000","$1,176,000",$0,,0.9%,,"$2,328,298","$2,328,298",$0
Gerald Everett,Rams,2017,4,,"$6,044,448","$1,511,112","$3,740,708",,0.9%,,"$9,244,024","$2,311,006","$5,720,819"
Jesse James,Bears,2021,1,,"$1,650,000","$1,650,000","$1,650,000",,0.9%,,"$2,309,096","$2,309,096","$2,309,096"
Michael Hoomanawanui,Saints,2014,2,,"$2,400,000","$1,200,000","$500,000",,0.9%,,"$4,608,722","$2,304,361","$960,150"
Phillip Supernaw,Titans,2017,2,,"$3,000,000","$1,500,000","$600,000",,0.9%,,"$4,588,024","$2,294,012","$917,605"
Marcedes Lewis,Bears,2023,1,,"$2,000,000","$2,000,000","$1,000,000",,0.9%,,"$2,272,242","$2,272,242","$1,136,121"
Adam Shaheen,MIA/CHI,2017,4,,"$5,910,516","$1,477,629","$3,637,216",,0.9%,,"$9,039,196","$2,259,799","$5,562,545"
Lance Kendricks,Rams,2011,4,,"$4,226,105","$1,056,526",$0,,0.9%,,"$8,966,540","$2,241,634",$0
Ross Dwelley,49ers,2021,1,,"$1,600,000","$1,600,000","$1,400,000",,0.9%,,"$2,239,123","$2,239,123","$1,959,233"
Pharaoh Brown,Texans,2021,1,,"$1,600,000","$1,600,000","$200,000",,0.9%,,"$2,239,123","$2,239,123","$279,890"
Levine Toilolo,Giants,2021,1,,"$1,600,000","$1,600,000","$650,000",,0.9%,,"$2,239,123","$2,239,123","$909,644"
Joel Dreessen,Texans,2009,3,,"$3,215,000","$1,071,667","$945,000",,0.9%,,"$6,675,699","$2,225,234","$1,962,220"
James O'Shaughnessy,Jaguars,2021,1,,"$1,590,000","$1,590,000","$1,000,000",,0.9%,,"$2,225,129","$2,225,129","$1,399,452"
Jordan Akins,Browns,2023,2,,"$3,900,000","$1,950,000","$1,730,000",,0.9%,,"$4,430,872","$2,215,436","$1,965,489"
Rob Gronkowski,Patriots,2010,4,,"$4,440,000","$1,110,000","$2,590,000",,0.9%,,"$8,790,512","$2,197,628","$5,127,798"
Blake Bell,Cowboys,2020,1,,"$1,700,000","$1,700,000","$450,000",,0.9%,,"$2,190,616","$2,190,616","$579,869"
Gavin Escobar,Cowboys,2013,4,,"$4,210,496","$1,052,624","$2,213,566",,0.9%,,"$8,742,770","$2,185,692","$4,596,299"
Bradley Sowell,Bears,2018,2,,"$3,000,000","$1,500,000","$850,000",,0.8%,,"$4,323,928","$2,161,964","$1,225,113"
Levine Toilolo,Lions,2018,1,,"$1,500,000","$1,500,000","$400,000",,0.8%,,"$2,161,964","$2,161,964","$576,524"
Derek Carrier,LAR/WAS,2015,2,,"$2,400,000","$1,200,000","$400,000",,0.8%,,"$4,278,057","$2,139,028","$713,009"
Demetrius Harris,Bears,2020,1,,"$1,650,000","$1,650,000","$500,000",,0.8%,,"$2,126,186","$2,126,186","$644,299"
Pat Freiermuth,Steelers,2021,4,,"$6,028,180","$1,507,045","$3,338,140",,0.8%,,"$8,436,149","$2,109,037","$4,671,567"
Daniel Graham,Saints,2012,1,,"$990,000","$990,000","$65,000",,0.8%,,"$2,096,567","$2,096,567","$137,653"
Jace Amaro,Jets,2014,4,,"$4,292,996","$1,073,249","$2,477,316",,0.8%,,"$8,243,843","$2,060,961","$4,757,192"
Jace Amaro,Titans,2014,4,,"$4,292,996","$1,073,249","$2,447,316",,0.8%,,"$8,243,843","$2,060,961","$4,699,583"
Darren Fells,Texans,2019,1,,"$1,500,000","$1,500,000","$100,000",,0.8%,,"$2,035,600","$2,035,600","$135,707"
Dallas Goedert,Eagles,2018,4,,"$5,624,282","$1,406,071","$3,386,037",,0.8%,,"$8,106,330","$2,026,583","$4,880,326"
Johnny Mundt,Vikings,2024,1,,"$2,000,000","$2,000,000","$750,000",,0.8%,,"$2,000,000","$2,000,000","$750,000"
