Player,Tm,Age,Pos,G_x,GS,Tgt,Rec,Ctch%,Yds_x,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional,AllPro,ProBowl,Receiving_Points,Year,Career_Passing_Points,Career_Rushing_Points,Career_Receiving_Points,Pick,Kmeans,PF,Yds_y,Ply,Y/P,TO,FL,1stD,Cmp,Att_Pass,Yds_Pass,TD_Pass,Int,NY/A,1stD_Pass,Att_Rush,Yds_Rush,TD_Rush,YdsPer_Rush,1stD_Rush,Pen,Yds_Pen,1stPy,Sc%,TO%,EXP,Future_Receiving_Points
A.J. Brown,TEN,22.0,WR,16.0,11.0,84.0,52.0,61.9,1051.0,20.2,8.0,39.0,53.6,91.0,12.5,3.3,65.7,1.0,BrowAJ00,0.0,0.0,179.10000000000002,2019,,,,51.0,15,402,5805,949,6.1,17,9,317,297,448,3582,29,8,7.1,177,445,2223,21,5.0,104,99,932,36,31.4,8.6,115.88,208.5
A.J. Brown,TEN,23.0,WR,14.0,12.0,106.0,70.0,66.0,1075.0,15.4,11.0,55.0,61.3,73.0,10.1,5.0,76.8,2.0,BrowAJ00,0.0,1.0,208.5,2020,,10.0,179.10000000000002,51.0,15,491,6343,1031,6.2,12,5,381,316,485,3653,33,7,7.2,203,521,2690,26,5.2,142,86,783,36,47.9,7.2,245.01,148.4
A.J. Brown,TEN,24.0,WR,13.0,13.0,105.0,63.0,60.0,869.0,13.8,5.0,45.0,50.5,57.0,8.3,4.8,66.8,0.0,BrowAJ00,0.0,0.0,148.4,2021,,10.0,193.8,51.0,15,419,5822,1133,5.1,25,11,362,359,535,3418,22,14,5.9,194,551,2404,23,4.4,134,103,973,34,38.9,13.0,79.19,259.6
A.J. Brown,PHI,25.0,WR,17.0,16.0,145.0,88.0,60.7,1496.0,17.0,11.0,59.0,51.7,78.0,10.3,5.2,88.0,2.0,BrowAJ00,0.0,1.0,259.6,2022,0.0,5.5,178.66666666666666,51.0,15,477,6614,1124,5.9,19,10,385,350,536,4105,25,9,7.1,195,544,2509,32,4.6,161,90,682,29,42.5,10.2,226.96,240.6
A.J. Green,CIN,24.0,WR,16.0,16.0,164.0,97.0,59.1,1350.0,13.9,11.0,61.0,51.8,73.0,8.2,6.1,84.4,2.0,GreeA.00,0.0,1.0,249.5,2012,,,,4.0,0,391,5323,1016,5.2,26,10,292,335,540,3578,28,16,6.1,173,430,1745,11,4.1,95,99,857,24,35.4,12.8,-90.48,257.6
A.J. Green,CIN,25.0,WR,16.0,16.0,178.0,98.0,55.1,1426.0,14.6,11.0,65.0,47.2,82.0,8.0,6.1,89.1,1.0,GreeA.00,0.0,1.0,257.6,2013,,-0.1999999999999997,249.5,4.0,0,430,5891,1097,5.4,30,10,330,364,587,4136,33,20,6.7,205,481,1755,14,3.6,101,102,1000,24,32.3,14.9,33.5,174.60000000000002
A.J. Green,CIN,26.0,WR,13.0,13.0,117.0,69.0,59.0,1041.0,15.1,6.0,46.0,53.0,81.0,8.9,5.3,80.1,3.0,GreeA.00,0.0,1.0,174.60000000000002,2014,,-0.1999999999999997,253.55,4.0,0,365,5568,1018,5.5,26,9,313,323,503,3421,20,17,6.5,164,492,2147,19,4.4,122,102,812,27,34.0,13.1,13.84,232.7
A.J. Green,CIN,27.0,WR,16.0,16.0,132.0,86.0,65.2,1297.0,15.1,10.0,63.0,60.6,80.0,9.8,5.4,81.1,1.0,GreeA.00,0.0,1.0,232.7,2015,,-2.9999999999999996,227.23333333333335,4.0,0,419,5728,1004,5.7,17,8,324,334,505,3923,31,9,7.3,191,467,1805,18,3.9,99,111,917,34,39.6,9.3,82.59,153.4
A.J. Green,CIN,28.0,WR,10.0,10.0,100.0,66.0,66.0,964.0,14.6,4.0,42.0,54.0,54.0,9.6,6.6,96.4,0.0,GreeA.00,0.0,1.0,153.4,2016,,-2.9999999999999996,228.60000000000002,4.0,0,325,5711,1050,5.4,17,9,341,364,563,3942,18,8,6.5,204,446,1769,17,4.0,100,88,726,37,35.8,8.5,30.41,193.3
A.J. Green,CIN,29.0,WR,16.0,16.0,143.0,75.0,52.4,1078.0,14.4,8.0,55.0,45.5,77.0,7.5,4.7,67.4,2.0,GreeA.00,0.0,1.0,193.3,2017,,-2.9999999999999996,213.56000000000003,4.0,0,290,4488,927,4.8,23,11,267,304,510,3122,25,12,5.7,165,377,1366,6,3.6,72,110,1027,30,26.5,11.4,-108.45,128.4
