Player,Team,Position,Value,APY,Guaranteed,"APY% Of
Cap","Inflated
Value","Inflated
APY","Inflated
Guaranteed"
Matt Cassel,Chiefs,QB,63000000,10500000,27750000,8.5,115141463,19190244,50717073
Matt Stafford,Lions,QB,72000000,12000000,41700000,9.8,131590244,21931707,76212683
Philip Rivers,Chargers,QB,91800000,15300000,38150000,12.4,167777561,27962927,69724553
Eli Manning,Giants,QB,97500000,16250000,35000000,13.2,178195122,29699187,63967480
Chandler Harnish,Colts,QB,102000,102000,0,0.1,186420,186420,0
Greg McElroy,Bengals,QB,102000,102000,0,0.1,186420,186420,0
B.J. Daniels,Seahawks,QB,102000,102000,0,0.1,186420,186420,0
Austin Davis,Dolphins,QB,102000,102000,0,0.1,186420,186420,0
Tyler Wilson,Raiders,QB,102000,102000,0,0.1,186420,186420,0
B.J. Coleman,Packers,QB,405000,405000,0,0.3,740195,740195,0
Tyler Wilson,Raiders,QB,405000,405000,0,0.3,740195,740195,0
B.J. Daniels,SF/SEA,QB,2206512,551628,46512,0.4,4032715,1008179,85007
Sean Renfree,Falcons,QB,2205896,551474,45896,0.4,4031589,1007897,83881
Chandler Harnish,Colts,QB,1060000,530000,10000,0.4,1937301,968650,18276
Nathan Enderle,Titans,QB,1050000,525000,0,0.4,1919024,959512,0
Zac Dysert,Broncos,QB,2208200,522050,48200,0.4,4035800,954121,88092
Matt McGloin,Raiders,QB,1485000,495000,0,0.4,2714049,904683,0
Tyler Wilson,Titans,QB,1485000,495000,0,0.4,2714049,904683,0
Austin Davis,Rams,QB,480000,480000,0,0.4,877268,877268,0
Nathan Enderle,Chargers,QB,480000,480000,0,0.4,877268,877268,0
Case Keenum,LAR/HOU,QB,900000,450000,0,0.4,1644878,822439,0
Ryan Nassib,Giants,QB,2613600,653400,453600,0.5,4776726,1194181,829019
Tyler Wilson,Raiders,QB,2610900,652725,450900,0.5,4771791,1192948,824084
Landry Jones,Steelers,QB,2599220,649805,439220,0.5,4750444,1187611,802737
Ricky Stanzi,Jaguars,QB,1200000,600000,0,0.5,2193171,1096585,0
Brad Sorensen,Chargers,QB,2219400,554850,59400,0.5,4056269,1014067,108562
Mike Glennon,Buccaneers,QB,3104063,776016,637500,0.6,5673117,1418280,1165122
Tim Tebow,Patriots,QB,1385000,692500,0,0.6,2531285,1265642,0
Matt Barkley,PHI/ARI,QB,2739528,684882,497028,0.6,5006877,1251719,908389
Derek Anderson,Panthers,QB,905000,905000,65000,0.7,1654016,1654016,118797
Matt Flynn,Packers,QB,1793750,896875,0,0.7,3278333,1639167,0
Josh McCown,Bears,QB,865000,865000,125000,0.7,1580911,1580911,228455
Luke McCown,Saints,QB,825000,825000,0,0.7,1507805,1507805,0
Josh Johnson,Bengals,QB,1895000,947500,150000,0.8,3463382,1731691,274146
David Carr,Giants,QB,1050000,1050000,165000,0.9,1919024,1919024,301561
Geno Smith,Jets,QB,5019603,1254901,767196,1.0,9174039,2293510,1402160
Jason Campbell,Browns,QB,3750000,1875000,500000,1.5,6853659,3426829,913821
Brian Hoyer,Cardinals,QB,2023000,2023000,0,1.6,3697320,3697320,0
E.J. Manuel,Bills,QB,8885300,2221325,8885300,1.8,16239150,4059787,16239150
Josh Freeman,Vikings,QB,2833334,2833334,0,2.3,5178321,5178321,0
Kevin Kolb,Bills,QB,6100000,3050000,1000000,2.5,11148618,5574309,1827642
Ryan Fitzpatrick,Titans,QB,6500000,3250000,3250000,2.6,11879675,5939837,5939837
Chase Daniel,Chiefs,QB,10000000,3333333,4000000,2.7,18276423,6092140,7310569
Matt Hasselbeck,Colts,QB,7250000,3625000,3000000,2.9,13250407,6625203,5482927
Matt Cassel,Vikings,QB,3700000,3700000,2000000,3.0,6762276,6762276,3655285
Matt Moore,Dolphins,QB,8000000,4000000,4000000,3.3,14621138,7310569,7310569
Matt Flynn,Raiders,QB,11500000,5750000,6500000,4.7,21017886,10508943,11879675
Michael Vick,Eagles,QB,7500000,7500000,3500000,6.1,13707317,13707317,6396748
Carson Palmer,Cardinals,QB,17000000,8500000,10000000,6.9,31069919,15534959,18276423
Tom Brady,Patriots,QB,57000000,11400000,57000000,9.3,104175610,20835122,104175610
Matt Stafford,Lions,QB,53000000,17666667,41500000,14.4,96865041,32288347,75847154
Tony Romo,Cowboys,QB,108000000,18000000,55000000,14.6,197385366,32897561,100520325
Joe Flacco,Ravens,QB,120600000,20100000,51000000,16.3,220413659,36735610,93209756
Matt Ryan,Falcons,QB,103750000,20750000,59000000,16.9,189617886,37923577,107830894
Aaron Rodgers,Packers,QB,110000000,22000000,54000000,17.9,201040650,40208130,98692683
B.J. Daniels,Seahawks,QB,170000,170000,0,0.1,287338,287338,0
Zac Dysert,Broncos,QB,170000,170000,0,0.1,287338,287338,0
Ryan Lindley,Chargers,QB,107100,107100,0,0.1,181023,181023,0
Garrett Gilbert,Patriots,QB,107100,107100,0,0.1,181023,181023,0
Keith Wenning,Ravens,QB,107100,107100,0,0.1,181023,181023,0
Garrett Gilbert,Rams,QB,107100,107100,0,0.1,181023,181023,0
Brad Sorensen,Chargers,QB,107100,107100,0,0.1,181023,181023,0
Chandler Harnish,Vikings,QB,107100,107100,0,0.1,181023,181023,0
David Fales,Bears,QB,107100,107100,0,0.1,181023,181023,0
Case Keenum,Rams,QB,107100,107100,0,0.1,181023,181023,0
Ricky Stanzi,Texans,QB,107100,107100,0,0.1,181023,181023,0
Brad Sorensen,Titans,QB,107100,107100,0,0.1,181023,181023,0
Zach Mettenberger,PIT/TEN/LAC,QB,2345116,586279,125116,0.4,3963775,990944,211474
David Fales,Bears,QB,2334224,583556,114224,0.4,3945365,986341,193064
Keith Wenning,Ravens,QB,2324072,581018,104072,0.4,3928206,982051,175905
Tajh Boyd,Jets,QB,2298680,574670,78680,0.4,3885288,971322,132987
Garrett Gilbert,Rams,QB,2298597,574649,100000,0.4,3885147,971286,169023
Ryan Lindley,Cardinals,QB,570000,570000,0,0.4,963429,963429,0
Austin Davis,Rams,QB,570000,570000,0,0.4,963429,963429,0
Chandler Harnish,Colts,QB,1080000,540000,0,0.4,1825444,912722,0
B.J. Daniels,Seahawks,QB,1080000,540000,0,0.4,1825444,912722,0
Chandler Harnish,Vikings,QB,1080000,540000,0,0.4,1825444,912722,0
David Fales,Bears,QB,1530000,510000,0,0.4,2586045,862015,0
Tyler Wilson,Bengals,QB,495000,495000,0,0.4,836662,836662,0
Case Keenum,Texans,QB,495000,495000,0,0.4,836662,836662,0
Greg McElroy,Bengals,QB,495000,495000,0,0.4,836662,836662,0
Logan Thomas,ARI/MIA,QB,2652092,663023,432092,0.5,4482634,1120658,730333
Tom Savage,Texans,QB,2520584,630146,300584,0.5,4260356,1065089,508055
Brandon Weeden,DAL/HOU,QB,1230000,615000,0,0.5,2078977,1039489,0
Aaron Murray,Chiefs,QB,2427424,606856,182424,0.5,4102894,1025724,308338
A.J. McCarron,Bengals,QB,2401652,600413,181652,0.5,4059334,1014833,307033
