"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Allen Robinson II","PIT","WR","1.6","1.1","0.5","1.6","1.1","0.5","1","1","0.89","11","6.76","0","0","0","0","0","0"
"Emari Demercado","ARZ","RB","1.5","1.4","0.10000000000000009","1.5","1.4","0.1","1","0","0","0","0","0","0","15","13.4848","0","0.01"
"Wan'Dale Robinson","NYG","WR","4.6","6","-1.4000000000000004","4.6","6","-1.4","1","4","3.76","26","27.82","0","0.2304","0","0","0","0"
"Jonathan Taylor","IND","RB","21.1","14.3","6.800000000000001","21.1","14.3","6.8","1","0","0","0","0","0","0","91","55.1058","2","1.46"
"Nelson Agholor","BLT","WR","2.6","4.4","-1.8000000000000003","2.6","4.4","-1.8","1","1","2.13","21","33.07","0","0.0096","0","0","0","0"
"Tank Dell","HST","WR","14.7","12.9","1.799999999999999","14.7","12.9","1.8","1","5","3.87","50","60.51","1","0.7488","12","4.655","0","0"
"Payne Durham","TB","TE","1.7","1.6","0.09999999999999987","1.7","1.6","0.1","1","1","0.46","12","3.49","0","0.1728","0","0","0","0"
"Jake Bobo","SEA","WR","1.1","1.3","-0.19999999999999996","1.1","1.3","-0.2","1","1","0.8","6","8.81","0","0","0","0","0","0"
"Irv Smith Jr.","CIN","TE","1.8","2.8","-0.9999999999999998","1.8","2.8","-1","1","2","1.7","8","13.52","0","0.096","0","0","0","0"
"Sterling Shepard","NYG","WR","1.1","4","-2.9","1.1","4","-2.9","1","1","2.12","6","25.84","0","0.0672","0","0","0","0"
"DJ Chark Jr.","CAR","WR","4.9","4.3","0.6000000000000005","4.9","4.3","0.6","1","3","2.57","34","29.74","0","0","0","0","0","0"
"Jaleel McLaughlin","DEN","RB","0.4","0.9","-0.5","0.4","0.9","-0.5","1","0","0","0","0","0","0","4","8.8984","0","0.01"
"Robert Woods","HST","WR","5","4","1","5","4","1","1","2","1.69","40","30.57","0","0.0096","0","0","0","0"
"Jahan Dotson","WAS","WR","7.7","7.4","0.2999999999999998","7.7","7.4","0.3","1","5","4.06","52","49.34","0","0.0672","0","0","0","0"
"Davante Adams","LV","WR","9.8","9.3","0.5","9.8","9.3","0.5","1","5","4.33","73","59.97","0","0.192","0","0","0","0"
"Breece Hall","NYJ","RB","8.4","13.3","-4.9","8.4","13.3","-4.9","1","7","7.63","24","48.15","0","0.2112","25","30.3898","0","0.06"
"Mike Gesicki","NE","TE","0","1.8","-1.8","0","1.8","-1.8","1","0","1.14","0","11.91","0","0","0","0","0","0"
"Drake London","ATL","WR","11.6","8.6","3","11.6","8.6","3","1","5","4.3","91","64.1","0","0","0","0","0","0"
"Zack Moss","IND","RB","8","7.2","0.7999999999999998","8","7.2","0.8","1","2","2.68","15","20.4","0","0","55","35.525","0","0.05"
"Boston Scott","PHI","RB","1.4","1.9","-0.5","1.4","1.9","-0.5","1","0","0.98","0","4.36","0","0","14","9.4962","0","0"
"Taysom Hill","NO","TE","9.1","6.2","2.8999999999999995","9.1","6.2","2.9","1","2","1.27","55","20.34","0","0","26","32.4968","0","0.05"
"George Kittle","SF","TE","3.4","7.1","-3.6999999999999997","3.4","7.1","-3.7","1","3","3.41","19","46.56","0","0.1248","0","0","0","0"
"Dalvin Cook","NYJ","RB","3.1","3.9","-0.7999999999999998","3.1","3.9","-0.8","1","2","2.69","19","21.23","0","0.0096","2","4.2434","0","0"
"DeeJay Dallas","SEA","RB","2","1.9","0.10000000000000009","2","1.9","0.1","1","1","0.8","5","5.17","0","0","10","9.0454","0","0.01"
"Adam Thielen","CAR","WR","0.7","4.5","-3.8","0.7","4.5","-3.8","1","1","2.24","2","33.3","0","0","0","0","0","0"
"James Conner","ARZ","RB","5.2","11.6","-6.3999999999999995","5.2","11.6","-6.4","1","4","3.93","5","25.56","0","0.2976","27","24.3432","0","0.47"
"Parris Campbell","NYG","WR","0.3","1.2","-0.8999999999999999","0.3","1.2","-0.9","1","1","0.92","-2","4.29","0","0.0576","0","0","0","0"
"Zach Evans","LA","RB","0.6","1.6","-1","0.6","1.6","-1","1","0","0","0","0","0","0","6","14.2982","0","0.03"
"Travis Kelce","KC","TE","12.1","10.8","1.299999999999999","12.1","10.8","1.3","1","6","4.99","91","73.02","0","0.1632","0","0","0","0"
"Darrynton Evans","MIA","RB","1.6","0.9","0.7000000000000001","1.6","0.9","0.7","1","0","0","0","0","0","0","16","9.3884","0","0"
"Marvin Mims Jr.","DEN","WR","4.5","4.6","-0.09999999999999964","4.5","4.6","-0.1","1","2","2","24","26.02","0","0.0672","11","3.9886","0","0.03"
"Harrison Bryant","CLV","TE","6.7","5.6","1.1000000000000005","6.7","5.6","1.1","1","1","0.8","2","1.6","1","0.768","0","3.9494","0","0"
"Cordarrelle Patterson","ATL","RB","4.3","4","0.2999999999999998","4.3","4","0.3","1","0","0","0","0","0","0","43","36.015","0","0.07"
"Chris Rodriguez Jr.","WAS","RB","2.1","2","0.10000000000000009","2.1","2","0.1","1","0","0","0","0","0","0","21","18.914","0","0.01"
"Joe Mixon","CIN","RB","7","6.5","0.5","7","6.5","0.5","1","2","1.8","44","10.04","0","0.1248","16","35.7896","0","0.04"
"A.T. Perry","NO","WR","1.2","4.2","-3","1.2","4.2","-3","1","1","1.16","7","10.48","0","0.4224","0","0","0","0"
