Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Player-additional
22,Jameis Winston,TAM,24,QB,11,9,3-6-0,244,378,64.6,2992,19,5.0,14,3.7,152,50.6,64,7.9,7.3,12.3,272.0,90.2,66.2,27,157,6.7,7.00,6.38,0,1,WinsJa00
23,Sam Darnold,NYJ,21,QB,13,13,4-9-0,239,414,57.7,2865,17,4.1,15,3.6,130,43.2,76,6.9,6.1,12.0,220.4,77.6,45.9,30,204,6.8,5.99,5.24,1,1,DarnSa00
24,Blake Bortles,JAX,26,QB,13,12,3-9-0,243,403,60.3,2718,13,3.2,11,2.7,126,44.7,80,6.7,6.2,11.2,209.1,79.8,43.4,31,173,7.1,5.86,5.32,0,1,BortBl00
25,Andy Dalton,CIN,31,QB,11,11,5-6-0,226,365,61.9,2566,21,5.8,11,3.0,132,48.4,49,7.0,6.8,11.4,233.3,89.6,59.4,21,157,5.4,6.24,6.05,3,4,DaltAn00
26,Marcus Mariota,TEN,25,QB,14,13,7-6-0,228,331,68.9,2528,11,3.3,8,2.4,121,46.4,61,7.6,7.2,11.1,180.6,92.3,53.2,42,243,11.3,6.13,5.75,2,3,MariMa01
27,Joe Flacco,BAL,33,QB,9,9,4-5-0,232,379,61.2,2465,12,3.2,6,1.6,119,44.8,71,6.5,6.4,10.6,273.9,84.2,54.8,16,79,4.1,6.04,5.96,,,FlacJo00
28,Ryan Fitzpatrick,TAM,36,QB,8,7,2-5-0,164,246,66.7,2366,17,6.9,12,4.9,113,51.9,75,9.6,8.8,14.4,295.8,100.4,61.0,14,76,5.4,8.81,8.04,,,FitzRy00
29,Josh Rosen,ARI,21,QB,14,13,3-10-0,217,393,55.2,2278,11,2.8,14,3.6,112,36.3,75,5.8,4.8,10.5,162.7,66.7,24.1,45,320,10.3,4.47,3.53,1,2,RoseJo01
30,Nick Mullens,SFO,23,QB,8,8,3-5-0,176,274,64.2,2277,13,4.7,10,3.6,106,47.4,85,8.3,7.6,12.9,284.6,90.8,51.7,17,127,5.8,7.39,6.74,0,1,MullNi00
31,Alex Smith,WAS,34,QB,10,10,6-4-0,205,328,62.5,2180,10,3.0,5,1.5,106,43.7,52,6.6,6.6,10.6,218.0,85.7,46.9,22,121,6.3,5.88,5.81,,,SmitAl03
32,Josh Allen,BUF,22,QB,12,11,5-6-0,169,320,52.8,2074,10,3.1,12,3.8,89,37.1,75,6.5,5.4,12.3,172.8,67.9,49.8,28,213,8.0,5.35,4.37,2,3,AlleJo02
33,Ryan Tannehill,MIA,30,QB,11,11,5-6-0,176,274,64.2,1979,17,6.2,9,3.3,92,42.1,75,7.2,7.0,11.2,179.9,92.7,33.2,35,279,11.3,5.50,5.29,3,3,TannRy00
34,Nick Foles,PHI,29,QB,5,5,4-1-0,141,195,72.3,1413,7,3.6,4,2.1,59,42.6,83,7.2,7.0,10.0,282.6,96.0,65.4,9,47,4.4,6.70,6.50,2,2,FoleNi00
