"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"71","Mike James (FA)","60","295","4.9","24","2","0","10","11","43","4.3","0","0","8","47.9","6.0","0.0%"
"72","Daryl Richardson (FA)","69","215","3.1","14","0","0","14","18","121","8.6","0","0","8","47.6","6.0","0.0%"
"73","Benny Cunningham Jr. (FA)","47","261","5.6","56","2","1","6","10","59","9.8","0","1","14","44.0","3.1","0.0%"
"74","Edwin Baker (FA)","43","171","4.0","20","1","2","8","9","57","7.1","0","0","3","42.8","14.3","0.0%"
"75","Joseph Randle (FA)","54","164","3.0","19","0","2","8","10","61","7.6","0","0","13","42.5","3.3","0.0%"
"76","Ahmad Bradshaw (FA)","41","186","4.5","27","1","2","7","8","42","6.0","0","0","3","41.8","13.9","0.0%"
"77","Darrel Young (FA)","12","41","3.4","19","0","3","4","9","71","17.8","1","0","13","39.2","3.0","0.0%"
"78","Matt Asiata (FA)","44","166","3.8","39","1","3","5","8","13","2.6","0","1","11","38.9","3.5","0.0%"
"79","Robert Turbin (FA)","77","264","3.4","15","0","0","8","12","60","7.5","0","1","16","38.4","2.4","0.0%"
"80","Chris Polk (FA)","11","98","8.9","38","2","3","4","5","61","15.3","0","0","15","37.9","2.5","0.0%"
"81","Anthony Sherman (FA)","2","3","1.5","2","0","0","18","24","155","8.6","1","1","16","37.8","2.4","0.0%"
"82","Stanley Havili (FA)","7","7","1.0","4","0","0","18","21","128","7.1","1","0","13","37.5","2.9","0.0%"
"83","Ronnie Brown (FA)","45","157","3.5","13","0","1","8","8","60","7.5","0","0","16","35.7","2.2","0.0%"
"84","Da'Rel Scott (FA)","20","73","3.7","16","0","0","11","19","102","9.3","1","0","5","34.5","6.9","0.0%"
"85","Jonathan Dwyer (FA)","49","197","4.0","30","2","0","8","11","64","8.0","0","0","15","34.1","2.3","0.0%"
"86","Felix Jones (FA)","48","184","3.8","14","0","0","9","13","63","7.0","0","1","16","31.7","2.0","0.0%"
