"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Mitchell Wilcox","CIN","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tommy Sweeney","BUF","1","TE","1","1","0","7","0","0","0","0","100","-1","7","7","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2","0.15","1.2"
"Tyler Conklin","NYJ","1","TE","2","1","0","16","0","0","0","0","50","7.5","8","16","8","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","100","0","1","0","100","0","0","0","2.2","0.06","1.1"
"Josiah Deguara","GB","1","TE","1","1","0","9","0","0","0","0","100","4","9","9","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4","0.28","1.4"
"Ian Thomas","CAR","1","TE","2","2","0","22","0","0","0","0","100","-3","11","11","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2","0.14","1.6"
"Jack Stoll","PHI","1","TE","1","1","0","21","0","0","0","0","100","4","21","21","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6","0.08","2.6"
"Trevon Wesco","CHI","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Devin Asiasi","CIN","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Dawson Knox","BUF","1","TE","3","3","0","37","0","1","0","0","100","13.33","12.33","12.33","0.67","1","1","1","33.3","33.3","100","1","1","33.3","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.2","0.18","3.73"
"Mo Alie-Cox","IND","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Evan Engram","JAX","1","TE","6","5","0","40","0","0","0","0","83.3","5.33","6.67","8","7.6","1","0","0","16.7","0","0","1","0","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6.5","0.13","1.3"
"Nick Boyle","BLT","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Travis Kelce","KC","1","TE","10","8","0","108","1","0","0","0","80","9","10.8","13.5","5.5","2","0","0","20","0","0","1","0","10","0","0","1","0","4","0","0","0","4","3","0","0","0","1","0","100","0","0","0","0","0","0","0","15.2","0.29","1.69"
