Player,Team,Position,Value,APY,Guaranteed,"APY% Of
Cap","Inflated
Value","Inflated
APY","Inflated
Guaranteed",Contract Years,Year Signed,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Year End
Lache Seastrunk,Commanders,RB,2330500,582625,110500,0.40,3939071,984768,186770,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Marion Grice,Chargers,RB,2318896,579724,98896,0.40,3919457,979864,167157,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Tyler Gaffney,CAR/NE,RB,2316600,579150,96600,0.40,3915577,978894,163276,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Bradie Ewing,JAX/ATL,RB,2284192,571048,184192,0.40,3860800,965200,311326,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Storm Johnson,Jaguars,RB,2282728,570682,62728,0.40,3858325,964581,106024,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Chris Thompson,Commanders,RB,1080000,540000,0,0.40,1825444,912722,0,2,2014,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
Bryce Brown,Bills,RB,2150880,537720,50880,0.40,3635472,908868,85999,4,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Isaiah Crowell,Browns,RB,1540000,513333,10000,0.40,2602947,867649,16902,3,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Damien Williams,Dolphins,RB,1533500,511167,3500,0.40,2591961,863988,5916,3,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Glenn Winston,Browns,RB,1530000,510000,0,0.40,2586045,862015,0,3,2014,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Adrian Peterson,Vikings,RB,42000000,14000000,13000000,9.80,65896147,21965382,20396427,3,2015,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Marshawn Lynch,Seahawks,RB,24000000,12000000,12000000,8.40,37654941,18827471,18827471,2,2015,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
LeSean McCoy,Bills,RB,40050000,8010000,26050000,5.60,62836683,12567337,40871301,5,2015,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2020
DeMarco Murray,Eagles,RB,40000000,8000000,21000000,5.60,62758236,12551647,32948074,5,2015,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2020
Shane Vereen,Giants,RB,12350000,4116667,4750000,2.90,19376605,6458869,7452540,3,2015,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Frank Gore,Colts,RB,12000000,4000000,6500000,2.80,18827471,6275824,10198213,3,2015,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
C.J. Spiller,Saints,RB,16000000,4000000,9000000,2.80,25103294,6275824,14120603,4,2015,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2019
Mark Ingram,Saints,RB,16000000,4000000,7600000,2.80,25103294,6275824,11924065,4,2015,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2019
Ryan Mathews,Eagles,RB,11000000,3666667,5000000,2.60,17258515,5752839,7844779,3,2015,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Todd Gurley,Rams,RB,13823180,3455795,13823180,2.40,21687960,5421990,21687960,4,2015,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2019
Donald Brown,Chargers,RB,6500000,3250000,0,2.30,10198213,5099107,0,2,2015,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2017
Justin Forsett,Ravens,RB,9000000,3000000,3000000,2.10,14120603,4706868,4706868,3,2015,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2018
Melvin Gordon,Chargers,RB,10669762,2667441,10669762,1.90,16740386,4185097,16740386,4,2015,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2019
Reggie Bush,49ers,RB,2500000,2500000,1000000,1.70,3922390,3922390,1568956,1,2015,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2016
