"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"225",12,"Rob Housler",FA,"TE32","155","325","186.3","35.6","+161"
"226",12,"Chris Johnson",FA,"RB77","132","248","183.5","21.6","-2"
"227",12,"Bilal Powell",FA,"RB78","147","294","182.9","31.8","+138"
"228",12,"Jaelen Strong",FA,"WR80","165","298","193.4","28.0","+2"
"229",12,"Kevin White",FA,"WR81","113","349","184.4","49.2","-51"
"230",12,"Dan Herron",FA,"RB79","175","198","186.9","7.5","-11"
"231",12,"Cincinnati Bengals",CIN,"DST13","140","200","170.7","18.4","+8"
"232",12,"Kansas City Chiefs",KC,"DST14","128","201","166.2","24.1","-49"
"233",12,"Scott Chandler",FA,"TE33","142","277","186.4","31.1","+88"
"234",12,"Jerricho Cotchery",FA,"WR82","151","268","183.5","28.2","+137"
"235",12,"Nick Foles",FA,"QB27","150","244","186.9","21.8","-26"
"236",12,"Brian Hartline",FA,"WR83","141","222","178.7","21.2","+95"
"237",12,"Virgil Green",FA,"TE34","133","305","184.0","43.6","+26"
"238",12,"Greg Jennings",FA,"WR84","159","269","191.1","23.9","+38"
"239",12,"Jonas Gray",FA,"RB80","123","201","174.6","21.1","-49"
"240",12,"Philadelphia Eagles",PHI,"DST15","146","197","177.7","16.8","-71"
"241",12,"Brandon Bolden",LV,"RB81","137","310","189.7","39.1","+61"
"242",13,"Tyrod Taylor",NYG,"QB28","137","327","189.2","48.7","-54"
"243",13,"Josh Huff",FA,"WR85","144","285","195.3","32.1","+72"
"244",13,"Montee Ball",FA,"RB82","168","200","183.6","8.9","-47"
"245",13,"Kamar Aiken",FA,"WR86","131","237","179.6","27.2","+98"
"246",13,"Stevan Ridley",FA,"RB83","175","367","197.9","53.7","-10"
"247",13,"Mohamed Sanu Sr.",FA,"WR87","155","263","195.4","25.5","-26"
"248",13,"Corey Brown",FA,"WR88","152","223","182.0","20.5","+139"
"249",13,"Harry Douglas",FA,"WR89","158","257","185.6","29.0","+74"
"250",13,"Tavon Austin",FA,"WR90","122","319","195.1","53.5","+9"
