Player,Position,Age,AP1,PB,St,wAV,DrAV,Games,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Tackles,Int,Sk
Germain Ifedi,G,22,0,0,4,37,29,102,0,0,0,0,0,0,0,0,0,0,0,,,
Jaylon Smith,OLB,21,0,1,4,37,32,87,0,0,0,0,0,0,0,0,0,0,0,376,2,11
Joe Schobert,OLB,22,0,1,5,37,25,99,0,0,0,0,0,0,0,0,0,0,0,418,10,11
Arik Armstead,DT,21,0,0,5,37,37,104,0,0,0,0,0,0,0,0,0,0,0,162,,28.5
Bud Dupree,OLB,22,0,0,5,37,31,103,0,0,0,0,0,0,0,0,0,0,0,196,1,46.5
Adrian Amos,S,22,0,0,8,37,19,126,0,0,0,0,0,0,0,0,0,0,0,516,10,6
James White,RB,22,0,0,0,37,37,95,1,1,35,0,0,319,1278,11,381,3278,25,,,
Desmond Trufant,DB,22,0,1,8,37,35,113,0,0,0,0,0,0,0,0,0,0,0,302,14,6
J.C. Tretter,T,22,0,0,5,37,5,111,0,0,0,0,0,0,0,0,0,0,0,,,
William Gholston,DE,22,0,0,7,37,37,153,0,0,0,0,0,0,0,0,0,0,0,249,,19.5
A.J. Klein,LB,22,0,0,5,37,9,144,0,0,0,0,0,0,0,0,0,0,0,318,4,15.5
Jordan Mills,T,22,0,0,5,37,14,100,0,0,0,0,0,0,0,0,0,0,0,,,
Micah Parsons,LB,22,2,2,2,36,36,33,0,0,0,0,0,0,0,0,0,0,0,106,,26.5
Tristan Wirfs,T,21,1,2,3,36,36,46,0,0,0,0,0,0,0,0,0,0,0,1,,
Josh Jacobs,RB,21,1,2,4,36,36,60,0,0,0,0,0,1072,4740,40,160,1152,0,3,,
Mitchell Trubisky,QB,23,0,1,4,36,33,64,1133,1765,11904,68,43,222,1119,11,0,0,0,,,
Mike Williams,WR,22,0,0,4,36,36,85,0,0,0,0,0,9,31,1,290,4557,30,,1,
Dean Lowry,DE,22,0,0,6,36,36,111,0,0,0,0,0,0,0,0,0,0,0,139,1,15.5
